image,source,method,output_width,output_height,target_size_source,fit_residual_rmse_px,fit_residual_max_px,matrix_error_vs_truth,transfer_rmse_vs_truth_px,transfer_max_vs_truth_px,target_mismatch_rmse_px,aspect_error_percent,solve_ms,solve_ms_std,warp_ms,warp_ms_std,image_mae_vs_opencv
fig4.jpg,phone,normalized_dlt,1000,629,estimated,4.0242256381682557e-13,7.06424996360036e-13,,,,,,0.07139999070204794,0.04908021116957319,74.02250001905486,1.6071282020980924,0.00015686274509803922
fig4.jpg,phone,opencv,1000,629,estimated,1.6128407297454543e-13,2.5545697526939504e-13,,,,,,0.002500019036233425,0.007291256798325367,0.42050000047311187,0.08608248228838197,
book_cover.jpg,public,basic_dlt,771,1097,estimated,3.716218170981813e-08,4.8673530785211326e-08,,,,,,0.09190000128000975,0.05912975957086835,112.08930000429973,9.576416141648735,0.31390251525108176
book_cover.jpg,public,normalized_dlt,771,1097,estimated,2.8324500327843233e-13,3.8844877294514177e-13,,,,,,0.07475001621060073,0.08643725422457614,110.01569998916239,0.8356226792626635,0.2638981997437495
book_cover.jpg,public,opencv,771,1097,estimated,1.797546735911271e-13,2.2737367544323206e-13,,,,,,0.002400018274784088,0.008936555795217625,0.6436999537982047,0.07560645780762719,
chessboard.jpg,public,basic_dlt,1437,914,estimated,7.760758770814503e-08,1.016618761037527e-07,,,,,,0.09695001062937081,0.06249491576706238,182.62000003596768,14.241533628010915,0.00024262395266904115
chessboard.jpg,public,normalized_dlt,1437,914,estimated,3.1536850861857574e-13,3.3629990322294526e-13,,,,,,0.07310000364668667,0.07940017207665719,172.98510001273826,0.47135336940746614,0.00024262395266904115
chessboard.jpg,public,opencv,1437,914,estimated,3.453939378230481e-05,5.134412888930125e-05,,,,,,0.003700028173625469,0.00909013706710725,0.7473999867215753,0.021459896569264857,
docunet_29_view1.jpg,public,basic_dlt,550,399,estimated,8.982926680124756e-09,1.387538585658851e-08,,,,,,0.09429999045096338,0.051643122590821884,26.758600026369095,1.1063171769781033,0.0005908711171869066
docunet_29_view1.jpg,public,normalized_dlt,550,399,estimated,1.7127353966468129e-13,2.2737367544323206e-13,,,,,,0.07675000233575702,0.051463092904850856,25.524299999233335,0.5468778024099626,0.0005908711171869066
docunet_29_view1.jpg,public,opencv,550,399,estimated,2.7959943062406593e-05,3.2016864773188496e-05,,,,,,0.0024499895516783,0.006913288861521602,0.19500002963468432,0.03208163462193312,
docunet_29_view2.jpg,public,basic_dlt,471,595,estimated,1.0250067198632471e-08,1.5161567902375315e-08,,,,,,0.09439999121241271,0.057332795539709366,30.442100018262863,1.2396336481527177,0.0006339690865730581
docunet_29_view2.jpg,public,normalized_dlt,471,595,estimated,1.5874467224876448e-13,2.0495186137532011e-13,,,,,,0.0737000082153827,0.07484797738107013,29.102600004989654,1.9318736629299547,0.0006363479574420001
docunet_29_view2.jpg,public,opencv,471,595,estimated,3.185875265877909e-05,5.459319480499307e-05,,,,,,0.0024999608285725117,0.006534322857454863,0.31569995917379856,0.09069225451945684,
